name;price;info;link;Код товара;Комплектация;Питание;Принцип действия;Артикул;Срок поставки;Длина датчика, мм;Чувствительность;Корпус;Аналоговый выход по току, мА
Емкостной датчик Balluff BCS M08T4E1-PSM15C-EP02;Уточнить цену;"Артикул; BCS M08T4E1-PSM15C-EP02; Код товара; BCS0026; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e1_psm15c_ep02/;BCS0026;;;;BCS M08T4E1-PSM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M08T4E2-PSM15C-S49G;Уточнить цену;"Артикул; BCS M08T4E2-PSM15C-S49G; Код товара; BCS002A; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e2_psm15c_s49g/;BCS002A;;;;BCS M08T4E2-PSM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4G2-NSC40D-S04K;Уточнить цену;"Артикул; BCS M12B4G2-NSC40D-S04K; Код товара; BCS00P2; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4g2_nsc40d_s04k/;BCS00P2;;;;BCS M12B4G2-NSC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBG2-PSC40D-S04K;Уточнить цену;"Артикул; BCS M12BBG2-PSC40D-S04K; Код товара; BCS00PJ; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbg2_psc40d_s04k/;BCS00PJ;;;;BCS M12BBG2-PSC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12T4G1-PSM40C-EP02;Уточнить цену;"Артикул; BCS M12T4G1-PSM40C-EP02; Код товара; BCS002Z; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12t4g1_psm40c_ep02/;BCS002Z;;;;BCS M12T4G1-PSM40C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12TTG1-PSM40C-ET02;Уточнить цену;"Артикул; BCS M12TTG1-PSM40C-ET02; Код товара; BCS00AU; Срок поставки; 4-6 недель; Длина датчика, мм; 50";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12ttg1_psm40c_et02/;BCS00AU;;;;BCS M12TTG1-PSM40C-ET02;4-6 недель;50;;;
Емкостной датчик Balluff BCS M18B4I3-PSC80D-S04K;Уточнить цену;"Артикул; BCS M18B4I3-PSC80D-S04K; Код товара; BCS00MF; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4i3_psc80d_s04k/;BCS00MF;;;;BCS M18B4I3-PSC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBI3-POC80D-S04K;Уточнить цену;"Артикул; BCS M18BBI3-POC80D-S04K; Код товара; BCS00MH; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbi3_poc80d_s04k/;BCS00MH;;;;BCS M18BBI3-POC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBN1-NSC80D-EP02;Уточнить цену;"Артикул; BCS M18BBN1-NSC80D-EP02; Код товара; BCS00M2; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbn1_nsc80d_ep02/;BCS00M2;;;;BCS M18BBN1-NSC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBN1-POC80D-EP02;Уточнить цену;"Артикул; BCS M18BBN1-POC80D-EP02; Код товара; BCS00M1; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbn1_poc80d_ep02/;BCS00M1;;;;BCS M18BBN1-POC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
